school,date,type,count
ABCD - Jamaica Plain,2021-05-01,Classroom coaching session,2
ABCD - Jamaica Plain,2021-10-01,"Coaching session with the leadership team,Classroom coaching session",1
ABCD - Jamaica Plain,2021-10-01,Classroom coaching session,1
ABCD - Jamaica Plain,2021-09-01,Coaching session with the leadership team,1
ABCD - Jamaica Plain,2021-09-01,Classroom coaching session,1
South Boston Neighborhood House,2021-01-01,"Coaching session with the leadership team,Classroom coaching session,PD session",1
South Boston Neighborhood House,2021-01-01,Coaching session with the leadership team,1
South Boston Neighborhood House,2021-02-01,Coaching session with the leadership team,1
South Boston Neighborhood House,2021-02-01,Classroom coaching session,2
South Boston Neighborhood House,2021-03-01,Classroom coaching session,1
South Boston Neighborhood House,2021-04-01,Coaching session with the leadership team,1
South Boston Neighborhood House,2021-11-01,Coaching session with the leadership team,2
South Boston Neighborhood House,2021-12-01,Classroom coaching session,1
Nurtury - Tremont,2021-01-01,Classroom coaching session,2
Nurtury - Tremont,2021-02-01,Classroom coaching session,1
Children's Services of Roxbury,2021-11-01,Classroom coaching session,1
YMCA Roxbury,2021-01-01,Classroom coaching session,1
YMCA Roxbury,2021-03-01,Coaching session with the leadership team,1
YMCA Roxbury,2021-04-01,Coaching session with the leadership team,1
YMCA Roxbury,2021-05-01,Coaching session with the leadership team,1
YMCA Roxbury,2021-05-01,Classroom coaching session,1
YMCA Roxbury,2021-09-01,Coaching session with the leadership team,1
YMCA Roxbury,2021-09-01,Classroom coaching session,1
YMCA Roxbury,2021-10-01,Classroom coaching session,2
ABCD Roslindale,2021-01-01,Classroom coaching session,2
ABCD Roslindale,2021-02-01,Classroom coaching session,2
ABCD Roslindale,2021-03-01,Classroom coaching session,1
ABCD Roslindale,2021-03-01,Coaching session with the leadership team,1
ABCD Roslindale,2021-04-01,Classroom coaching session,1
ABCD Roslindale,2021-05-01,"Coaching session with the leadership team,Classroom coaching session",1
ABCD Roslindale,2021-10-01,Coaching session with the leadership team,1
Little Voices,2021-01-01,Coaching session with the leadership team,1
Little Voices,2021-01-01,Classroom coaching session,4
Little Voices,2021-02-01,Coaching session with the leadership team,1
Little Voices,2021-02-01,Classroom coaching session,3
Little Voices,2021-02-01,"Licensing, accreditation, or QRIS",1
Little Voices,2021-03-01,Coaching session with the leadership team,1
Little Voices,2021-03-01,Classroom coaching session,2
Little Voices,2021-03-01,"Licensing, accreditation, or QRIS",1
Little Voices,2021-04-01,Classroom coaching session,2
Little Voices,2021-04-01,Coaching session with the leadership team,1
Little Voices,2021-05-01,Classroom coaching session,4
Little Voices,2021-05-01,Coaching session with the leadership team,1
Little Voices,2021-05-01,"Licensing, accreditation, or QRIS",1
Little Voices,2021-06-01,Coaching session with the leadership team,1
Little Voices,2021-09-01,Classroom coaching session,1
Little Voices,2021-09-01,Coaching session with the leadership team,1
Little Voices,2021-10-01,Classroom coaching session,3
Little Voices,2021-11-01,Classroom coaching session,6
Little Voices,2021-11-01,Coaching session with the leadership team,1
Little Voices,2021-12-01,Classroom coaching session,2
Little Voices,2021-12-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Nurtury - Learning Lab,2021-01-01,Classroom coaching session,1
Nurtury - Learning Lab,2021-12-01,Classroom coaching session,1
Nurtury - Learning Lab,2021-02-01,Classroom coaching session,1
Torah Academy,2021-01-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Torah Academy,2021-01-01,Coaching session with the leadership team,1
Torah Academy,2021-02-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",2
Torah Academy,2021-03-01,Coaching session with the leadership team,2
Torah Academy,2021-04-01,Coaching session with the leadership team,1
Torah Academy,2021-05-01,Coaching session with the leadership team,1
Torah Academy,2021-10-01,Coaching session with the leadership team,1
Torah Academy,2021-10-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Hattie B Cooper,2021-01-01,Classroom coaching session,2
Hattie B Cooper,2021-01-01,Coaching session with the leadership team,1
Hattie B Cooper,2021-02-01,Classroom coaching session,2
Hattie B Cooper,2021-03-01,Coaching session with the leadership team,2
Hattie B Cooper,2021-03-01,Classroom coaching session,1
Hattie B Cooper,2021-03-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Hattie B Cooper,2021-04-01,Classroom coaching session,1
Hattie B Cooper,2021-06-01,Coaching session with the leadership team,1
Hattie B Cooper,2021-05-01,Coaching session with the leadership team,1
Hattie B Cooper,2021-05-01,Classroom coaching session,1
Hattie B Cooper,2021-09-01,Coaching session with the leadership team,1
Hattie B Cooper,2021-10-01,Classroom coaching session,1
Hattie B Cooper,2021-12-01,Classroom coaching session,2
Boys & Girls Club - Denny,2021-05-01,Classroom coaching session,1
Boys & Girls Club - Denny,2021-10-01,Classroom coaching session,1
YMCA - East Boston,2021-01-01,Classroom coaching session,3
YMCA - East Boston,2021-01-01,Coaching session with the leadership team,2
YMCA - East Boston,2021-02-01,Classroom coaching session,2
YMCA - East Boston,2021-03-01,Classroom coaching session,2
YMCA - East Boston,2021-04-01,Classroom coaching session,1
YMCA - East Boston,2021-05-01,Coaching session with the leadership team,1
YMCA - East Boston,2021-05-01,Classroom coaching session,1
YMCA - East Boston,2021-10-01,Coaching session with the leadership team,2
YMCA - East Boston,2021-11-01,Classroom coaching session,1
Wesley,2021-01-01,Classroom coaching session,2
Wesley,2021-02-01,Classroom coaching session,1
Wesley,2021-03-01,Classroom coaching session,2
Wesley,2021-04-01,Classroom coaching session,1
Wesley,2021-04-01,"Coaching session with the leadership team,Classroom coaching session",2
Wesley,2021-05-01,Classroom coaching session,1
Wesley,2021-06-01,Coaching session with the leadership team,1
Wesley,2021-06-01,Classroom coaching session,1
Wesley,2021-11-01,Classroom coaching session,2
Wesley,2021-12-01,Classroom coaching session,1
Paige Academy,2021-01-01,Classroom coaching session,1
Paige Academy,2021-02-01,"Coaching session with the leadership team,Classroom coaching session",1
Paige Academy,2021-03-01,Coaching session with the leadership team,1
Paige Academy,2021-03-01,Classroom coaching session,1
Paige Academy,2021-05-01,"Coaching session with the leadership team,Classroom coaching session",1
Paige Academy,2021-06-01,"Coaching session with the leadership team,Classroom coaching session,Licensing, accreditation, or QRIS",1
Children Services of Roxbury,2021-11-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-02-01,Classroom coaching session,2
Boys & Girls Club - Marr,2021-01-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-03-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-03-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
Boys & Girls Club - Marr,2021-04-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-06-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-10-01,Classroom coaching session,1
Boys & Girls Club - Marr,2021-09-01,Coaching session with the leadership team,1
Ellis Memorial,2021-01-01,Classroom coaching session,3
Mission Grammar,2021-01-01,Classroom coaching session,4
Mission Grammar,2021-03-01,Classroom coaching session,1
Mission Grammar,2021-03-01,Coaching session with the leadership team,1
Mission Grammar,2021-04-01,Coaching session with the leadership team,1
Mission Grammar,2021-05-01,Classroom coaching session,2
Mission Grammar,2021-05-01,Coaching session with the leadership team,1
Mission Grammar,2021-06-01,Coaching session with the leadership team,1
Mission Grammar,2021-10-01,Classroom coaching session,1
Mission Grammar,2021-11-01,"Coaching session with the leadership team,Classroom coaching session",1
Boys & Girls Club - McLaughlin,2021-06-01,Classroom coaching session,1
Boys & Girls Club - McLaughlin,2021-09-01,Classroom coaching session,1
YMCA Wang,2021-01-01,Classroom coaching session,1
YMCA Wang,2021-02-01,Classroom coaching session,1
YMCA Wang,2021-03-01,Classroom coaching session,2
YMCA Wang,2021-04-01,Classroom coaching session,1
YMCA Wang,2021-05-01,Coaching session with the leadership team,1
YMCA Wang,2021-10-01,Classroom coaching session,2
YMCA Wang,2021-09-01,Coaching session with the leadership team,1
YMCA Wang,2021-09-01,Classroom coaching session,1
VietAid,2021-01-01,Classroom coaching session,1
VietAid,2021-02-01,Classroom coaching session,1
VietAid,2021-03-01,Classroom coaching session,1
VietAid,2021-03-01,"Coaching session with the leadership team,Classroom coaching session,Licensing, accreditation, or QRIS",1
VietAid,2021-04-01,Classroom coaching session,1
VietAid,2021-05-01,Classroom coaching session,1
ABCD Hyde Park,2021-01-01,Classroom coaching session,1
ABCD Hyde Park,2021-02-01,Classroom coaching session,1
ABCD Hyde Park,2021-03-01,Classroom coaching session,1
ABCD Hyde Park,2021-04-01,Classroom coaching session,1
ABCD Hyde Park,2021-05-01,Classroom coaching session,1
ABCD Hyde Park,2021-10-01,Classroom coaching session,1
Nurtury - Mt Pleasant,2021-01-01,"Coaching session with the leadership team,Classroom coaching session",1
Nurtury - Mt Pleasant,2021-02-01,Classroom coaching session,1
YMCA - West Roxbury,2021-01-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-01-01,Classroom coaching session,2
YMCA - West Roxbury,2021-02-01,Classroom coaching session,2
YMCA - West Roxbury,2021-03-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-03-01,Classroom coaching session,1
YMCA - West Roxbury,2021-04-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-04-01,Classroom coaching session,1
YMCA - West Roxbury,2021-05-01,Classroom coaching session,1
YMCA - West Roxbury,2021-05-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-06-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-09-01,"Coaching session with the leadership team,Licensing, accreditation, or QRIS",1
YMCA - West Roxbury,2021-09-01,Classroom coaching session,1
YMCA - West Roxbury,2021-10-01,Classroom coaching session,1
YMCA - West Roxbury,2021-10-01,Coaching session with the leadership team,1
YMCA - West Roxbury,2021-11-01,Classroom coaching session,1
YMCA - West Roxbury,2021-12-01,Classroom coaching session,1
YMCA - West Roxbury,2021-12-01,Coaching session with the leadership team,1
BCNC,2021-01-01,Classroom coaching session,3
BCNC,2021-02-01,Classroom coaching session,3
BCNC,2021-03-01,Classroom coaching session,3
BCNC,2021-04-01,Classroom coaching session,1
BCNC,2021-04-01,"Coaching session with the leadership team,Classroom coaching session",1
BCNC,2021-05-01,Classroom coaching session,1
BCNC,2021-09-01,Classroom coaching session,1
BCNC,2021-11-01,"Licensing, accreditation, or QRIS",1
ABCD - Walnut Grove,2021-01-01,"Coaching session with the leadership team,Classroom coaching session",2
ABCD - Walnut Grove,2021-03-01,"Coaching session with the leadership team,Classroom coaching session",1
ABCD - Walnut Grove,2021-04-01,Coaching session with the leadership team,1
ABCD - Walnut Grove,2021-05-01,Coaching session with the leadership team,1
ABCD - Walnut Grove,2021-09-01,Coaching session with the leadership team,1
ABCD - Walnut Grove,2021-09-01,Classroom coaching session,1
ABCD - Walnut Grove,2021-10-01,"Classroom coaching session,PD session",1
ABCD - Walnut Grove,2021-10-01,Classroom coaching session,1
